Sun Effect Update,Mouse Update,Check for New Particle Effect Update,Particle Update,Spaceship Update,Object Update,Spaceship Draw,Draw Sun Particles,Turret Update,Turret Draw,Draw Particle,Bullet Draw,Object Draw,Wall Draw,Solar System Draw
0.000140124,3.69829e-006,4.10922e-007,0,2.05461e-006,3.69829e-006,2.46553e-005,0.00181833,8.21843e-007,8.62935e-006,0,4.10922e-007,4.52014e-006,8.62935e-006,7.97188e-005
0.000179162,2.05461e-006,0,0,4.10922e-007,1.23276e-006,2.0957e-005,0.00198763,2.46553e-006,8.62935e-006,0,1.23276e-006,5.34198e-006,1.47932e-005,8.21843e-005
0.000172998,4.10922e-006,4.10922e-007,4.10922e-007,1.23276e-006,1.64369e-006,2.91754e-005,0.00184257,8.21843e-007,8.62935e-006,0,4.10922e-007,4.10922e-006,9.04028e-006,0.000111771
4.23249e-005,3.28737e-006,4.10922e-007,0,1.23276e-006,1.64369e-006,3.123e-005,0.00181258,8.21843e-007,8.62935e-006,0,4.10922e-007,4.52014e-006,9.04028e-006,8.01297e-005
4.23249e-005,2.87645e-006,4.10922e-007,0,1.23276e-006,2.05461e-006,2.38335e-005,0.00184011,1.23276e-006,8.62935e-006,0,8.21843e-007,4.52014e-006,8.62935e-006,8.05406e-005
0.000126153,1.64369e-005,4.10922e-007,0,1.64369e-006,1.64369e-006,2.30116e-005,0.00182162,8.21843e-007,8.62935e-006,0,4.10922e-007,4.52014e-006,9.04028e-006,8.13625e-005
0.000158205,3.28737e-006,4.10922e-007,0,8.21843e-007,8.21843e-007,2.6299e-005,0.00189024,1.23276e-006,8.62935e-006,0,4.10922e-007,4.10922e-006,9.04028e-006,8.17734e-005
0.000156561,3.69829e-006,4.10922e-007,0,1.23276e-006,1.64369e-006,2.30116e-005,0.00182367,1.23276e-006,8.62935e-006,0,4.10922e-007,4.52014e-006,8.62935e-006,8.21843e-005
0.000184093,2.05461e-006,4.10922e-007,0,8.21843e-007,8.21843e-007,2.01352e-005,0.00191489,1.64369e-006,8.62935e-006,0,1.23276e-006,4.93106e-006,1.31495e-005,8.21843e-005
0.000169711,3.28737e-006,4.10922e-007,0,1.64369e-006,1.64369e-006,2.34225e-005,0.00182326,8.21843e-007,8.62935e-006,0,4.10922e-007,4.52014e-006,8.62935e-006,8.09516e-005
0.000171765,3.28737e-006,4.10922e-007,0,1.23276e-006,1.64369e-006,2.83536e-005,0.00184956,8.21843e-007,8.62935e-006,0,8.21843e-007,4.52014e-006,9.04028e-006,8.21843e-005
4.88997e-005,2.87645e-006,0,0,1.23276e-006,2.05461e-006,2.26007e-005,0.0017908,1.23276e-006,8.21843e-006,0,4.10922e-007,4.10922e-006,9.04028e-006,8.13625e-005
5.09543e-005,3.28737e-006,0,0,1.23276e-006,1.64369e-006,2.46553e-005,0.00184586,1.23276e-006,8.62935e-006,0,4.10922e-007,4.52014e-006,9.04028e-006,8.09516e-005
0.000153274,2.05461e-006,0,0,4.10922e-007,1.23276e-006,2.0957e-005,0.00182983,8.21843e-007,8.62935e-006,0,4.10922e-007,4.10922e-006,8.62935e-006,7.97188e-005
0.000150397,3.69829e-006,4.10922e-007,4.10922e-007,1.64369e-006,2.05461e-006,2.42444e-005,0.00184668,1.23276e-006,8.62935e-006,4.10922e-007,8.21843e-007,4.52014e-006,9.04028e-006,8.09516e-005
0.000144644,2.05461e-006,0,0,4.10922e-007,1.23276e-006,2.13679e-005,0.00202749,2.05461e-006,8.62935e-006,0,8.21843e-007,5.34198e-006,1.39713e-005,8.34171e-005
4.35577e-005,3.69829e-006,0,4.10922e-007,1.23276e-006,1.64369e-006,2.38335e-005,0.00182696,8.21843e-007,8.62935e-006,0,4.10922e-007,4.93106e-006,9.04028e-006,8.17734e-005
5.87618e-005,1.15058e-005,0,0,1.23276e-006,1.23276e-006,2.30116e-005,0.00184504,1.23276e-006,8.62935e-006,0,8.21843e-007,4.52014e-006,9.04028e-006,8.30062e-005
4.97215e-005,3.69829e-006,4.10922e-007,4.10922e-007,1.23276e-006,1.64369e-006,2.30116e-005,0.00193585,1.23276e-006,8.62935e-006,0,4.10922e-007,4.52014e-006,8.62935e-006,8.34171e-005
0.000183271,3.28737e-006,4.10922e-007,0,8.21843e-007,1.23276e-006,2.17788e-005,0.00183271,8.21843e-007,8.62935e-006,0,4.10922e-007,4.52014e-006,8.62935e-006,8.25953e-005
0.000185326,2.87645e-006,4.10922e-007,0,1.23276e-006,1.64369e-006,2.30116e-005,0.00182983,1.23276e-006,8.21843e-006,0,4.10922e-007,4.52014e-006,8.62935e-006,8.34171e-005
